cancer_type,0,site
Adenocarcinoma,36,simulated_local_0
Basal cell carcinoma,1,simulated_local_0
Carcinoma,1,simulated_local_0
Glioblastoma,2,simulated_local_0
Lymphoma,1,simulated_local_0
Melanoma,3,simulated_local_0
Neuroblastoma,2,simulated_local_0
Neuroendocrine,1,simulated_local_0
Normal,39,simulated_local_0
Renal cell carcinoma,5,simulated_local_0
Sarcoma,6,simulated_local_0
Squamous,5,simulated_local_0
Thyroid papillary,1,simulated_local_0
Transitional cell carcinoma,3,simulated_local_0
Wilm's tumour,3,simulated_local_0
Adenocarcinoma,36,simulated_local_1
Carcinoma,1,simulated_local_1
Glioblastoma,4,simulated_local_1
Lymphoma,2,simulated_local_1
Melanoma,2,simulated_local_1
Neuroblastoma,2,simulated_local_1
Normal,39,simulated_local_1
Renal cell carcinoma,4,simulated_local_1
Sarcoma,9,simulated_local_1
Squamous,5,simulated_local_1
Thyroid papillary,1,simulated_local_1
Transitional cell carcinoma,2,simulated_local_1
Wilm's tumour,2,simulated_local_1
Adenocarcinoma,34,simulated_local_2
Carcinoma,1,simulated_local_2
Lymphoma,5,simulated_local_2
Melanoma,1,simulated_local_2
Neuroblastoma,2,simulated_local_2
Neuroendocrine,2,simulated_local_2
Normal,44,simulated_local_2
Renal cell carcinoma,1,simulated_local_2
Sarcoma,3,simulated_local_2
Squamous,6,simulated_local_2
Thyroid papillary,2,simulated_local_2
Transitional cell carcinoma,2,simulated_local_2
Wilm's tumour,6,simulated_local_2
Adenocarcinoma,39,simulated_local_3
Carcinoma,1,simulated_local_3
Glioblastoma,3,simulated_local_3
Lymphoma,3,simulated_local_3
Melanoma,1,simulated_local_3
Neuroblastoma,2,simulated_local_3
Normal,36,simulated_local_3
Renal cell carcinoma,1,simulated_local_3
Sarcoma,7,simulated_local_3
Squamous,9,simulated_local_3
Thyroid papillary,2,simulated_local_3
Transitional cell carcinoma,3,simulated_local_3
Wilm's tumour,2,simulated_local_3
Adenocarcinoma,23,simulated_local_4
Glioblastoma,1,simulated_local_4
Lymphoma,3,simulated_local_4
Melanoma,3,simulated_local_4
Neuroblastoma,2,simulated_local_4
Neuroendocrine,2,simulated_local_4
Normal,48,simulated_local_4
Renal cell carcinoma,2,simulated_local_4
Sarcoma,13,simulated_local_4
Squamous,5,simulated_local_4
Thyroid papillary,3,simulated_local_4
Transitional cell carcinoma,2,simulated_local_4
Wilm's tumour,2,simulated_local_4
