round,loss
1,8.01097329457601
2,7.483316580454509
3,7.0073466300964355
4,6.567773183186849
5,6.150262514750163
6,5.745092868804932
7,5.347153027852376
8,4.955607891082764
9,4.571356296539307
10,4.197032451629639
11,3.8373199303944907
12,3.498122294743856
13,3.183911403020223
14,2.8975625038146973
15,2.642090082168579
16,2.417887051900228
17,2.2212208906809487
18,2.0469583670298257
19,1.8911160230636597
20,1.7506335576375325
21,1.6226905981699626
22,1.5060641368230183
23,1.4001268148422241
24,1.3058911561965942
25,1.219975193341573
26,1.1482231219609578
27,1.0802143812179565
28,1.0259221196174622
29,0.978910764058431
30,0.937845786412557
31,0.9001704057057699
32,0.8666492303212484
33,0.839765747388204
34,0.81321120262146
35,0.7911821802457174
36,0.7711960673332214
37,0.755954921245575
38,0.7388625144958496
39,0.7268605629603068
40,0.7116822203000387
41,0.7010937531789144
42,0.6916284163792928
43,0.680685838063558
44,0.671751876672109
45,0.6636510491371155
46,0.6536167661348978
47,0.6472939054171244
48,0.6401514808336893
49,0.6334831317265829
50,0.626205841700236
